3, 2, 1 .. GO!
Horse 15 starts.
Horse 9 starts.
Horse 12 starts.
Horse 16 starts.
Horse 10 starts.
Horse 8 starts.
Horse 19 starts.
Horse 11 starts.
Horse 2 starts.
Horse 1 starts.
Horse 0 starts.
Horse 13 starts.
Horse 4 starts.
Horse 14 starts.
Horse 7 starts.
Horse 18 starts.
Horse 3 starts.
Horse 6 starts.
Horse 5 starts.
Horse 17 starts.
Horse: 9, Lane: 12, Position: 7, Lap: 0
Horse: 13, Lane: 0, Position: 6, Lap: 0
Horse: 10, Lane: 6, Position: 8, Lap: 0
Horse: 1, Lane: 8, Position: 9, Lap: 0
Horse: 7, Lane: 4, Position: 9, Lap: 0
Horse: 15, Lane: 13, Position: 10, Lap: 0
Horse: 17, Lane: 18, Position: 9, Lap: 0
Horse: 2, Lane: 0, Position: 9, Lap: 0
Horse: 18, Lane: 19, Position: 11, Lap: 0
Horse: 19, Lane: 0, Position: 10, Lap: 0
Horse: 4, Lane: 7, Position: 7, Lap: 0
Horse: 6, Lane: 5, Position: 9, Lap: 0
Horse: 5, Lane: 0, Position: 4, Lap: 0
Horse: 0, Lane: 0, Position: 3, Lap: 0
Horse: 11, Lane: 11, Position: 10, Lap: 0
Horse: 12, Lane: 15, Position: 13, Lap: 0
Horse: 9, Lane: 13, Position: 8, Lap: 0
Horse: 14, Lane: 12, Position: 10, Lap: 0
Horse: 13, Lane: 1, Position: 7, Lap: 0
Horse: 1, Lane: 8, Position: 11, Lap: 0
Horse: 15, Lane: 13, Position: 12, Lap: 0
Horse: 17, Lane: 17, Position: 10, Lap: 0
Horse: 2, Lane: 0, Position: 11, Lap: 0
Horse: 7, Lane: 3, Position: 10, Lap: 0
Horse: 16, Lane: 0, Position: 9, Lap: 0
Horse: 18, Lane: 19, Position: 12, Lap: 0
Horse: 19, Lane: 1, Position: 11, Lap: 0
Horse: 5, Lane: 1, Position: 5, Lap: 0
Horse: 0, Lane: 1, Position: 4, Lap: 0
Horse: 6, Lane: 4, Position: 10, Lap: 0
Horse: 3, Lane: 4, Position: 9, Lap: 0
Horse: 10, Lane: 5, Position: 9, Lap: 0
Horse: 8, Lane: 0, Position: 7, Lap: 0
Horse: 4, Lane: 6, Position: 8, Lap: 0
Horse: 11, Lane: 12, Position: 11, Lap: 0
Horse: 12, Lane: 16, Position: 14, Lap: 0
Horse: 14, Lane: 12, Position: 12, Lap: 0
Horse: 9, Lane: 14, Position: 9, Lap: 0
Horse: 13, Lane: 0, Position: 8, Lap: 0
Horse: 1, Lane: 9, Position: 12, Lap: 0
Horse: 15, Lane: 12, Position: 13, Lap: 0
Horse: 2, Lane: 1, Position: 12, Lap: 0
Horse: 17, Lane: 17, Position: 12, Lap: 0
Horse: 7, Lane: 3, Position: 12, Lap: 0
Horse: 16, Lane: 0, Position: 11, Lap: 0
Horse: 18, Lane: 19, Position: 13, Lap: 0
Horse: 19, Lane: 0, Position: 12, Lap: 0
Horse: 5, Lane: 1, Position: 7, Lap: 0
Horse: 3, Lane: 5, Position: 10, Lap: 0
Horse: 8, Lane: 1, Position: 8, Lap: 0
Horse: 6, Lane: 5, Position: 11, Lap: 0
Horse: 0, Lane: 2, Position: 5, Lap: 0
Horse: 10, Lane: 6, Position: 10, Lap: 0
Horse: 4, Lane: 5, Position: 9, Lap: 0
Horse: 11, Lane: 13, Position: 12, Lap: 0
Horse: 9, Lane: 14, Position: 11, Lap: 0
Horse: 14, Lane: 11, Position: 13, Lap: 0
Horse: 12, Lane: 16, Position: 16, Lap: 0
Horse: 13, Lane: 0, Position: 10, Lap: 0
Horse: 1, Lane: 10, Position: 13, Lap: 0
Horse: 15, Lane: 12, Position: 15, Lap: 0
Horse: 17, Lane: 16, Position: 13, Lap: 0
Horse: 2, Lane: 1, Position: 14, Lap: 0
Horse: 7, Lane: 4, Position: 13, Lap: 0
Horse: 19, Lane: 1, Position: 13, Lap: 0
Horse: 16, Lane: 1, Position: 12, Lap: 0
Horse: 18, Lane: 18, Position: 14, Lap: 0
Horse: 5, Lane: 1, Position: 9, Lap: 0
Horse: 3, Lane: 6, Position: 11, Lap: 0
Horse: 8, Lane: 2, Position: 9, Lap: 0
Horse: 10, Lane: 7, Position: 11, Lap: 0
Horse: 0, Lane: 3, Position: 6, Lap: 0
Horse: 6, Lane: 6, Position: 12, Lap: 0
Horse: 4, Lane: 5, Position: 11, Lap: 0
Horse: 11, Lane: 12, Position: 13, Lap: 0
Horse: 9, Lane: 14, Position: 13, Lap: 0
Horse: 14, Lane: 10, Position: 14, Lap: 0
Horse: 12, Lane: 16, Position: 18, Lap: 0
Horse: 13, Lane: 1, Position: 11, Lap: 0
Horse: 1, Lane: 9, Position: 14, Lap: 0
Horse: 2, Lane: 1, Position: 16, Lap: 0
Horse: 15, Lane: 12, Position: 17, Lap: 0
Horse: 7, Lane: 3, Position: 14, Lap: 0
Horse: 17, Lane: 16, Position: 15, Lap: 0
Horse: 5, Lane: 2, Position: 10, Lap: 0
Horse: 18, Lane: 17, Position: 15, Lap: 0
Horse: 19, Lane: 1, Position: 15, Lap: 0
Horse: 3, Lane: 7, Position: 12, Lap: 0
Horse: 4, Lane: 5, Position: 13, Lap: 0
Horse: 0, Lane: 4, Position: 7, Lap: 0
Horse: 16, Lane: 0, Position: 13, Lap: 0
Horse: 8, Lane: 2, Position: 11, Lap: 0
Horse: 6, Lane: 7, Position: 13, Lap: 0
Horse: 10, Lane: 8, Position: 12, Lap: 0
Horse: 11, Lane: 11, Position: 14, Lap: 0
Horse: 9, Lane: 15, Position: 14, Lap: 0
Horse: 14, Lane: 10, Position: 16, Lap: 0
Horse: 12, Lane: 16, Position: 20, Lap: 0
Horse: 13, Lane: 1, Position: 13, Lap: 0
Horse: 1, Lane: 10, Position: 15, Lap: 0
Horse: 15, Lane: 12, Position: 19, Lap: 0
Horse: 7, Lane: 4, Position: 15, Lap: 0
Horse: 17, Lane: 15, Position: 16, Lap: 0
Horse: 2, Lane: 1, Position: 18, Lap: 0
Horse: 5, Lane: 1, Position: 11, Lap: 0
Horse: 18, Lane: 16, Position: 16, Lap: 0
Horse: 19, Lane: 1, Position: 17, Lap: 0
Horse: 4, Lane: 6, Position: 14, Lap: 0
Horse: 3, Lane: 8, Position: 13, Lap: 0
Horse: 0, Lane: 5, Position: 8, Lap: 0
Horse: 16, Lane: 0, Position: 14, Lap: 0
Horse: 10, Lane: 8, Position: 14, Lap: 0
Horse: 8, Lane: 1, Position: 12, Lap: 0
Horse: 11, Lane: 11, Position: 16, Lap: 0
Horse: 12, Lane: 17, Position: 21, Lap: 0
Horse: 14, Lane: 11, Position: 17, Lap: 0
Horse: 13, Lane: 2, Position: 14, Lap: 0
Horse: 1, Lane: 9, Position: 16, Lap: 0
Horse: 7, Lane: 3, Position: 16, Lap: 0
Horse: 15, Lane: 12, Position: 21, Lap: 0
Horse: 17, Lane: 15, Position: 18, Lap: 0
Horse: 9, Lane: 15, Position: 16, Lap: 0
Horse: 18, Lane: 15, Position: 17, Lap: 0
Horse: 5, Lane: 2, Position: 12, Lap: 0
Horse: 4, Lane: 6, Position: 16, Lap: 0
Horse: 16, Lane: 0, Position: 16, Lap: 0
Horse: 2, Lane: 1, Position: 20, Lap: 0
Horse: 3, Lane: 8, Position: 15, Lap: 0
Horse: 0, Lane: 5, Position: 10, Lap: 0
Horse: 10, Lane: 8, Position: 16, Lap: 0
Horse: 6, Lane: 6, Position: 14, Lap: 0
Horse: 19, Lane: 2, Position: 18, Lap: 0
Horse: 8, Lane: 1, Position: 14, Lap: 0
Horse: 11, Lane: 11, Position: 18, Lap: 0
Horse: 12, Lane: 18, Position: 22, Lap: 0
Horse: 14, Lane: 10, Position: 18, Lap: 0
Horse: 13, Lane: 3, Position: 15, Lap: 0
Horse: 1, Lane: 9, Position: 18, Lap: 0
Horse: 17, Lane: 14, Position: 19, Lap: 0
Horse: 7, Lane: 4, Position: 17, Lap: 0
Horse: 9, Lane: 16, Position: 17, Lap: 0
Horse: 5, Lane: 3, Position: 13, Lap: 0
Horse: 4, Lane: 5, Position: 17, Lap: 0
Horse: 18, Lane: 14, Position: 18, Lap: 0
Horse: 16, Lane: 0, Position: 18, Lap: 0
Horse: 0, Lane: 6, Position: 11, Lap: 0
Horse: 3, Lane: 9, Position: 16, Lap: 0
Horse: 10, Lane: 7, Position: 17, Lap: 0
Horse: 6, Lane: 6, Position: 16, Lap: 0
Horse: 8, Lane: 1, Position: 16, Lap: 0
Horse: 19, Lane: 3, Position: 19, Lap: 0
Horse: 2, Lane: 1, Position: 22, Lap: 0
Horse: 15, Lane: 13, Position: 22, Lap: 0
Horse: 11, Lane: 12, Position: 19, Lap: 0
Horse: 12, Lane: 17, Position: 23, Lap: 0
Horse: 14, Lane: 10, Position: 20, Lap: 0
Horse: 13, Lane: 4, Position: 16, Lap: 0
Horse: 1, Lane: 8, Position: 19, Lap: 0
Horse: 7, Lane: 3, Position: 18, Lap: 0
Horse: 17, Lane: 15, Position: 20, Lap: 0
Horse: 16, Lane: 0, Position: 20, Lap: 0
Horse: 9, Lane: 15, Position: 18, Lap: 0
Horse: 5, Lane: 4, Position: 14, Lap: 0
Horse: 18, Lane: 14, Position: 20, Lap: 0
Horse: 4, Lane: 5, Position: 19, Lap: 0
Horse: 0, Lane: 7, Position: 12, Lap: 0
Horse: 3, Lane: 10, Position: 17, Lap: 0
Horse: 10, Lane: 6, Position: 18, Lap: 0
Horse: 19, Lane: 2, Position: 20, Lap: 0
Horse: 8, Lane: 2, Position: 17, Lap: 0
Horse: 2, Lane: 2, Position: 23, Lap: 0
Horse: 15, Lane: 12, Position: 23, Lap: 0
Horse: 11, Lane: 11, Position: 20, Lap: 0
Horse: 14, Lane: 9, Position: 21, Lap: 0
Horse: 12, Lane: 17, Position: 25, Lap: 0
Horse: 6, Lane: 5, Position: 17, Lap: 0
Horse: 1, Lane: 8, Position: 21, Lap: 0
Horse: 7, Lane: 4, Position: 19, Lap: 0
Horse: 17, Lane: 16, Position: 21, Lap: 0
Horse: 9, Lane: 15, Position: 20, Lap: 0
Horse: 5, Lane: 5, Position: 15, Lap: 0
Horse: 16, Lane: 1, Position: 21, Lap: 0
Horse: 0, Lane: 7, Position: 14, Lap: 0
Horse: 18, Lane: 13, Position: 21, Lap: 0
Horse: 19, Lane: 2, Position: 22, Lap: 0
Horse: 3, Lane: 11, Position: 18, Lap: 0
Horse: 10, Lane: 7, Position: 19, Lap: 0
Horse: 2, Lane: 1, Position: 24, Lap: 0
Horse: 8, Lane: 2, Position: 19, Lap: 0
Horse: 15, Lane: 12, Position: 25, Lap: 0
Horse: 11, Lane: 11, Position: 22, Lap: 0
Horse: 12, Lane: 16, Position: 26, Lap: 0
Horse: 14, Lane: 9, Position: 23, Lap: 0
Horse: 4, Lane: 5, Position: 21, Lap: 0
Horse: 6, Lane: 5, Position: 19, Lap: 0
Horse: 13, Lane: 5, Position: 17, Lap: 0
Horse: 1, Lane: 9, Position: 22, Lap: 0
Horse: 7, Lane: 4, Position: 21, Lap: 0
Horse: 17, Lane: 15, Position: 22, Lap: 0
Horse: 9, Lane: 14, Position: 21, Lap: 0
Horse: 16, Lane: 1, Position: 23, Lap: 0
Horse: 0, Lane: 7, Position: 16, Lap: 0
Horse: 18, Lane: 12, Position: 22, Lap: 0
Horse: 10, Lane: 6, Position: 20, Lap: 0
Horse: 3, Lane: 12, Position: 19, Lap: 0
Horse: 15, Lane: 12, Position: 27, Lap: 0
Horse: 2, Lane: 2, Position: 25, Lap: 0
Horse: 8, Lane: 1, Position: 20, Lap: 0
Horse: 11, Lane: 11, Position: 24, Lap: 0
Horse: 12, Lane: 16, Position: 28, Lap: 0
Horse: 14, Lane: 9, Position: 25, Lap: 0
Horse: 4, Lane: 5, Position: 23, Lap: 0
Horse: 6, Lane: 4, Position: 20, Lap: 0
Horse: 13, Lane: 5, Position: 19, Lap: 0
Horse: 5, Lane: 5, Position: 17, Lap: 0
Horse: 1, Lane: 10, Position: 23, Lap: 0
Horse: 7, Lane: 4, Position: 23, Lap: 0
Horse: 17, Lane: 14, Position: 23, Lap: 0
Horse: 16, Lane: 2, Position: 24, Lap: 0
Horse: 18, Lane: 13, Position: 23, Lap: 0
Horse: 0, Lane: 6, Position: 17, Lap: 0
Horse: 19, Lane: 1, Position: 23, Lap: 0
Horse: 10, Lane: 6, Position: 22, Lap: 0
